"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
123,"NCT04338360","Expanded Access to Convalescent Plasma for the Treatment of Patients With COVID-19",,"Available","No Results Available","COVID19","Biological: COVID-19 convalescent plasma",,"Mayo Clinic","All","18 Years and older   (Adult, Older Adult)",,,"Other","Expanded Access:Intermediate-size Population",,"20-003312",,,,"April 8, 2020",,"April 8, 2020","Mayo Clinic in Arizona, Scottsdale, Arizona, United States|Mayo Clinic in Florida, Jacksonville, Florida, United States|Mayo Clinic Health System in Albert Lea, Albert Lea, Minnesota, United States|Mayo Clinic Health System in Austin, Austin, Minnesota, United States|Mayo Clinic Health System in Cannon Falls, Cannon Falls, Minnesota, United States|Mayo Clinic Health System in Lake City, Lake City, Minnesota, United States|Mayo Clinic Health System in Mankato, Mankato, Minnesota, United States|Mayo Clinic Health System in Owatonna, Owatonna, Minnesota, United States|Mayo Clinic Health System in Red Wing, Red Wing, Minnesota, United States|Mayo Clinic in Rochester, Rochester, Minnesota, United States|Mayo Clinic Health System - Eau Claire, Eau Claire, Wisconsin, United States|Mayo Clinic Health System - Franciscan Healthcare, La Crosse, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT04338360"
124,"NCT04347538","Impact of Nasal Saline Irrigations on Viral Load in Patients With COVID-19",,"Recruiting","No Results Available","COVID 19","Other: Saline Nasal Irrigation|Other: Saline with Baby Shampoo Nasal Irrigation","Change in SARS-CoV-2 mucosal immune response in the nasopharynx|Change in microbial load in the nasopharynx|Change in Viral Load in the nasopharynx over the course of COVID-19 infection|Symptom assessment|Temperature assessment","Vanderbilt University Medical Center","All","18 Years and older   (Adult, Older Adult)","Not Applicable","90","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","200693","May 1, 2020","June 2021","June 2022","April 15, 2020",,"May 14, 2020","Vanderblt University Medical Center, Nashville, Tennessee, United States",,"https://ClinicalTrials.gov/show/NCT04347538"
125,"NCT04377802","Safe Return to Regular Clinical Operation After COVID-19 Pandemic",,"Not yet recruiting","No Results Available","COVID 19","Diagnostic Test: molecular testing for virus RNA using RT-PCR","Health care provider safe return to work","King Fahad Specialist Hospital Dammam","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","400","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","KFSH-ONC-02","May 17, 2020","November 16, 2020","December 30, 2020","May 6, 2020",,"May 6, 2020","king Fahad specialist hospital, Dammam, Eastern Province, Saudi Arabia",,"https://ClinicalTrials.gov/show/NCT04377802"
126,"NCT04390464","mulTi-Arm Therapeutic Study in Pre-ICu Patients Admitted With Covid-19 - Repurposed Drugs (TACTIC-R)","TACTIC-R","Recruiting","No Results Available","COVID19","Drug: Ravulizumab|Drug: Baricitinib|Other: Standard of care","Time to incidence of the composite endpoint of: Death, Mechanical ventilation, ECMO, Cardiovascular organ support, or Renal failure|Change in clinical status as assessed on 7-point ordinal scale compared to baseline|Proportion of patients with adverse events of special interest in each treatment arm|Time to Sp02 >94% on room air|Time to first negative SARS-CoV2 PCR|Duration of oxygen therapy|Duration of hospitalisation|All cause mortality at day 28|Time to clinical improvement","Cambridge University Hospitals NHS Foundation Trust","All","18 Years and older   (Adult, Older Adult)","Phase 4","1167","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TACTIC-R","May 8, 2020","May 7, 2021","May 1, 2022","May 15, 2020",,"May 18, 2020","Cambridge University Hospitals NHS Foundation Trust, Cambridge, Cambridgeshire, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04390464"
127,"NCT04350320","Trial to Study the Benefit of Colchicine in Patients With COVID-19","COL-COVID","Recruiting","No Results Available","COVID19","Drug: Colchicine Tablets|Drug: Standard therapy for COVID-19 according to the stablished hospital protocols.","Changes in the patients' clinical status through the 7 points ordinal scale WHO R&D Blueprint expert group|Changes in IL-6 concentrations|Improvement in the clinical status|Changes in the score for the Sequential Organ Failure Assessment (SOFA score)|Changes in the punctuation in the National Early Warning Score|Number of days with invasive mechanical ventilation|Number of days with high flow oxygen therapy|Changes in other inflammatory markers|Changes in severity markers|Changes in myocardial damage|Time until reaching a virus negative status|Length of hospital stay|Number of days in the intensive care unit.|Mortality","Fundacion para la Formacion e Investigacion Sanitarias de la Region de Murcia","All","18 Years and older   (Adult, Older Adult)","Phase 3","102","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IMIB-COLVID-2020-03","April 30, 2020","October 20, 2020","November 20, 2020","April 17, 2020",,"May 5, 2020","Virgen de la Arrixaca University Clinical Hospital, Murcia, Spain",,"https://ClinicalTrials.gov/show/NCT04350320"
128,"NCT04343794","Using Biovitals® Sentinel to Monitor Disease Progression in Subjects Quarantined for Suspected COVID-19",,"Recruiting","No Results Available","COVID19","Device: BIOVITALS","Time to diagnosis of COVID-19 by RT-PCR in subjects|Compliance to complete the study|Sensitivity and specificity of Biovitals® Sentinel|Cross infection rate within the family cluster|Length of hospital stay of positive subjects|Length of ICU stay of positive patients|National Early Warning Score 2 rating of positive patients|Viral load of positive patients|Worsening of comorbidities|Mortality","The University of Hong Kong","All","18 Years and older   (Adult, Older Adult)","Not Applicable","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","COVID19_Biovitals_Protocol_1","April 1, 2020","December 31, 2021","January 31, 2022","April 13, 2020",,"April 15, 2020","The University of Hong Kong, Queen Mary Hospital, Hong Kong, Hong Kong",,"https://ClinicalTrials.gov/show/NCT04343794"
129,"NCT04334252","Descriptive Study Regarding Ambulant Screening During COVID-19 Pandemia",,"Recruiting","No Results Available","COVID 19","Other: Questionnaire","Prevalence of symptoms|Prevalence of positive Sars CoV-2 PCR|Prevalence of positive radiological findings|Prediction of symptoms","Jessa Hospital","All","18 Years and older   (Adult, Older Adult)",,"5000","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","JessaH_COVID19_prescreening","April 17, 2020","December 20, 2020","December 20, 2020","April 6, 2020",,"May 19, 2020","Jessa hospital, Hasselt, Belgium",,"https://ClinicalTrials.gov/show/NCT04334252"
130,"NCT04437693","Post Exposure Prophylaxis in Healthcare Workers Exposed to COVID-19 Patients","HCQ-COVID19","Not yet recruiting","No Results Available","COVID 19","Drug: Hydroxychloroquine","Prevention of SARS-CoV-2 infection|Presence of any adverse effects related to HCQ|Incidence of COVID-19 related symptoms","Hamad Medical Corporation","All","18 Years to 60 Years   (Adult)","Phase 3","500","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention","MRC-02-20-442","July 1, 2020","June 30, 2021","December 31, 2021","June 18, 2020",,"June 18, 2020",,,"https://ClinicalTrials.gov/show/NCT04437693"
131,"NCT04368260","Clinical Validation of New Injection Molded Flocked Nasopharyngeal Swabs in Response to the COVID-19 Pandemic",,"Recruiting","No Results Available","COVID19","Device: Control swab|Device: Prototype swab","Number of subjects for which the prototype swab and the control swab provide the same COVID-19 PCR result","University of Virginia","All","up to 99 Years   (Child, Adult, Older Adult)","Not Applicable","40","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other","HSR200127","April 24, 2020","July 31, 2020","July 31, 2020","April 29, 2020",,"April 29, 2020","University of Virginia, Charlottesville, Virginia, United States",,"https://ClinicalTrials.gov/show/NCT04368260"
132,"NCT04335097","Sensor Based Vital Signs Monitoring of Covid 19 Patients During Home Isolation","HSC19","Recruiting","No Results Available","COVID 19","Device: Biosensors","Stop home isolation|NEWS score|Clinic at hospitalization|Symptoms developed|Relative/peers evaluation of the patient|Serious of symptoms at admittance hospital","Lars Wik|University of Stavanger|Oslo University Hospital|Norwegian Telemedicine|University of Basque Country (UPV/EHU)","All","18 Years and older   (Adult, Older Adult)","Not Applicable","214","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","127157","April 22, 2020","April 8, 2021","December 20, 2025","April 6, 2020",,"May 13, 2020","Lillestrom legevakt, Lillestrom, Norway",,"https://ClinicalTrials.gov/show/NCT04335097"
133,"NCT04341506","Non-contact ECG Sensor System for COVID19",,"Not yet recruiting","No Results Available","COVID-19","Device: Non-contact ECG","ECG changes associated with COVID-19","Northwestern Medicine","All","18 Years and older   (Adult, Older Adult)",,"100","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","20-0407","April 15, 2020","July 15, 2020","September 15, 2020","April 10, 2020",,"April 10, 2020",,,"https://ClinicalTrials.gov/show/NCT04341506"
134,"NCT04354610","Cardiovascular and Renal Biomarkers to Predict Acute Heart or Kidney Injury in Severe Covid-19 Infection","Nancy-CovH-AKI","Recruiting","No Results Available","COVID 19","Procedure: Biological samples specific to research|Procedure: Clinical examination|Procedure: Telephone follow-up","Worsening of renal function by at least KDIGO grade 1 during hospitalization for Covid-19 infection|Troponin greater than 99th percentile during hospitalization for Covid-19 infection|AKI KDIGO grade 1 or higher in hospitalisation (approach with AND without a priori)|Elevation of troponin> 99th percentile in hospitalisation (approach with AND without a priori)|AKI KDIGO grade 1 or higher|Association with troponin elevation >99th|Association with elevation of serum creatinine >30%|With the onset of chronic renal failure (eDFG <60 ml / min / 1.73m2)|The occurrence of cardiovascular events (stroke, myocardial infarction, hospitalisation for heart failure, cardiovascular death) during hospitalisation and three months after discharge from hospital|The occurrence of death from any cause during hospitalisation and three months after discharge from hospital","Central Hospital, Nancy, France","All","18 Years and older   (Adult, Older Adult)","Not Applicable","57","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","2020PI072","April 27, 2020","July 18, 2020","October 18, 2020","April 21, 2020",,"May 6, 2020","CHRU de Nancy, Nancy, France|CHRU de Nancy, Vandœuvre-lès-Nancy, France",,"https://ClinicalTrials.gov/show/NCT04354610"
135,"NCT04441710","Caregiver Serological Monitoring Extended Secondarily to Patients With the SARS-CoV-2 Coronavirus","CoVid3S","Not yet recruiting","No Results Available","COVID","Other: Questionnaire","Establishment of a reliable prediction model for the effectiveness of virus control","Hospices Civils de Lyon","All","Child, Adult, Older Adult",,"2500","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","69HCL20_0395","July 2020","January 2022","January 2022","June 22, 2020",,"June 22, 2020","CHU de Grenoble - Hôpital Nord, La Tronche, France|Hôpital de la Croix Rousse, Lyon, France|Hôpital Henry Gabrielle, Saint-Genis-Laval, France|CHU de Saint Etienne, Saint-Étienne, France",,"https://ClinicalTrials.gov/show/NCT04441710"
136,"NCT04416347","COVID19 Clinical Predictors and Outcome",,"Recruiting","No Results Available","COVID|SARS-CoV 2","Other: SARS-CoV2 Infection","SARS-CoV-2 hospital mortality|SARS-CoV-2 mortality in critical care unit","St George's University Hospitals NHS Foundation Trust|St George's, University of London","All","18 Years and older   (Adult, Older Adult)",,"800","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","2020.0115","June 15, 2020","April 30, 2022","April 30, 2022","June 4, 2020",,"June 19, 2020","St. George's University Hospitals Foundation Trust., London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04416347"
137,"NCT04399603","Mechanisms of Multi-organ Failure in COVID-19",,"Not yet recruiting","No Results Available","COVID","Other: no intervention-mechanistic study","Variation in inflammatory mediators in patients with multi-organ failure suffering from COVID-19|Correlation of inflammatory mediators in the bronchoalveolar lavage fluid with extent of lung injury (e.g. based upon oxygen requirement)|Correlation of circulating inflammatory mediators with renal and cardiovascular markers|Assess the role of inflammatory mediators obtained from patients in the development of renal injury using in vitro models (i.e. applying these inflammatory mediators isolated from these clinical samples on kidneys cells in a petri dish)","Imperial College London","All","18 Years to 90 Years   (Adult, Older Adult)",,"120","Other","Observational","Observational Model: Other|Time Perspective: Prospective","283783","May 18, 2020","November 17, 2021","November 17, 2021","May 22, 2020",,"May 22, 2020","Imperial College NHS Trust, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04399603"
138,"NCT04356677","Study to Evaluate the Safety and Efficacy of VIRAZOLE® in Hospitalized Adult Participants With Respiratory Distress Due to COVID-19",,"Not yet recruiting","No Results Available","COVID19","Drug: 50 mg/mL Virazole|Drug: 100 mg/mL Virazole","Change in the clinical status severity (CSS) rating from the first dose date up to the completion of treatment|Time to recover gas exchange to a PaO2/FiO2 ≥300 for at least 24 hours.|Time to reach peripheral capillary oxygen saturation (Sp02) >94% for at least 24 hours.","Bausch Health Americas, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 1","50","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","BHC-RIB-5401-HC","April 2020","April 2021","April 2021","April 22, 2020",,"April 22, 2020",,,"https://ClinicalTrials.gov/show/NCT04356677"
139,"NCT04348383","Defibrotide as Prevention and Treatment of Respiratory Distress and Cytokine Release Syndrome of Covid 19.","DEFACOVID","Recruiting","No Results Available","COVID19","Drug: Defibrotide 25 mg/kg 24 hours continuous infusion for 15 days|Drug: Placebo 250 cc 24 hours continuous infusion for 15 days","1. Mortality rate|Clinical improvement by WHO|Clinical improvement by NEWS2 scales|Biologic response|Radiological response|Collection and storage of biological samples","Fundacion para la Formacion e Investigacion Sanitarias de la Region de Murcia","All","18 Years and older   (Adult, Older Adult)","Phase 2","120","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","IMIB-DFC-2020-02","April 8, 2020","July 8, 2020","August 8, 2020","April 16, 2020",,"April 17, 2020","Virgen de la Arrixaca University Clinical Hospital, Murcia, Spain",,"https://ClinicalTrials.gov/show/NCT04348383"
140,"NCT04429334","Safety, Tolerability and Efficacy of Nangibotide in Mechanically Ventilated Patients With COVID-19 and Features of Systemic Inflammation",,"Not yet recruiting","No Results Available","COVID19","Drug: nangibotide|Drug: placebo","Adverse Events|Mortality","Inotrem","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2","60","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","MOT-C-204","June 2020","March 2021","March 2021","June 12, 2020",,"June 12, 2020","Réanimation Médicale, Hôpital Central, Nancy, France",,"https://ClinicalTrials.gov/show/NCT04429334"
141,"NCT04374487","A Phase II, Open Label, Randomized Controlled Trial to Assess the Safety and Efficacy of Convalescent Plasma to Limit COVID-19 Associated Complications",,"Not yet recruiting","No Results Available","COVID 19","Drug: Convalescent Plasma|Other: Standard Care Therapy","The primary outcome is a composite measure of the avoidance of - 1. Progression to severe ARDS (P/F ratio 100) and 2. All-cause Mortality at 28 days|Time to symptom resolution-Fever,Shortness of Breath,Fatigue|Hospital length of stay|Change in SOFA pre and post transfusion|Duration of respiratory support required a. Duration of Invasive Mechanical Ventilation b. Duration of Non-Invasive|Radiological improvement|Adverse events (AE) associated with transfusion|To measure the change in RNA levels (Ct values) of SARS-CoV-2 from RT-PCR [Time Frame: Days 0, 1, 3, and 7 after transfusion]|Levels of bio-markers pre and post transfusion|Need of Vasopressor use","Max Healthcare Insititute Limited","All","18 Years to 85 Years   (Adult, Older Adult)","Phase 2","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MHC-COVID-19-CP","May 9, 2020","May 9, 2021","May 9, 2021","May 5, 2020",,"May 5, 2020","Max Super Speciality hospital, Saket (A unit of Devki Devi Foundation), New Delhi, Delhi, India",,"https://ClinicalTrials.gov/show/NCT04374487"
142,"NCT04355715","Combination of Chest Scanography and Nasal Viral Detection Test to Detect COVID-19 Positive Patients Before Surgical Intervention in a University Hospital During Coronavirus Pandemia","COVID-Scan","Active, not recruiting","No Results Available","COVID 19|SARS-Cov-2",,"Confirmed diagnosis of COVID-19 infection|Incidence of unexpected COVID-19 positive patients admitted to the hospital|Number of contaminating events avoided by the early detection of COVID-19 patients|Incidence of SARS-Cov-2 seroconversion","University Hospital, Montpellier","All","18 Years to 99 Years   (Adult, Older Adult)",,"200","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","RECHMPL20_0223","April 1, 2019","October 1, 2020","October 20, 2020","April 21, 2020",,"April 27, 2020","Uh Montpellier, Montpellier, France",,"https://ClinicalTrials.gov/show/NCT04355715"
143,"NCT04346329","Immune Monitoring of Prophylactic Effect of Hydroxychloroquine in Healthcare Providers Highly Exposed to COVID-19","Chloroquine UN","Not yet recruiting","No Results Available","COVID","Drug: Hydroxychloroquine|Drug: Placebo oral tablet","Adverse effects|Immune-score|COVID-19 prevention|Clinical response","Universidad Nacional de Colombia|Fundación Salud de los Andes","All","18 Years and older   (Adult, Older Adult)","Phase 3","86","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Prevention","UNAL-COVID-CP","April 20, 2020","June 1, 2020","October 1, 2020","April 15, 2020",,"April 15, 2020","Facultad de Medicina - Universidad Nacional de Colombia, Bogota, Cundinamarca, Colombia|Universidad Nacional de Colombia, Bogota, Cundinamarca, Colombia",,"https://ClinicalTrials.gov/show/NCT04346329"
144,"NCT04341207","Epidemiology of SARS-CoV-2 and Mortality to Covid19 Disease in French Cancer Patients","ONCOVID","Recruiting","No Results Available","Cancer & COVID 19","Drug: Hydroxychloroquine|Drug: Azithromycin","Prevalence and the 3-months incidence of SARS-CoV-2 in cancer patients|Covid-19 disease-specific mortality rate in cancer patients treated by hydroxychloroquine and azithromycin","Gustave Roussy, Cancer Campus, Grand Paris","All","18 Years and older   (Adult, Older Adult)","Phase 2","1000","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2020-001250-21|2020/3078","April 3, 2020","April 2022","April 2022","April 10, 2020",,"April 10, 2020","Gustave Roussy, Villejuif, Val De Marne, France",,"https://ClinicalTrials.gov/show/NCT04341207"
145,"NCT04443712","Screening for Patients Admitted to Ain-Shams University Hospitals for SARS-COV-2 (COVID19)",,"Recruiting","No Results Available","Coronavirus Disease 2019 (COVID19)",,"The incidence of the new COVID19 among hospitalized patients|Cost of screening hospitalized patients","Samia Girgis|Ain Shams University","All","Child, Adult, Older Adult",,"1900","Other","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","FMASU P29 /2020","May 29, 2020","June 1, 2021","December 1, 2021","June 23, 2020",,"June 23, 2020","Faculty of Medicine Ain Shams University Research Institute- Clinical Research Center, Cairo, Non-US, Egypt",,"https://ClinicalTrials.gov/show/NCT04443712"
146,"NCT04343261","Convalescent Plasma in the Treatment of COVID 19",,"Enrolling by invitation","No Results Available","SARS-CoV-2|COVID|Coronavirus","Biological: Convalescent Plasma","Mortality|Viral Load|Serum Antibody Titers","Saint Francis Care","All","18 Years to 90 Years   (Adult, Older Adult)","Phase 2","47","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SFH-20-23","April 10, 2020","December 1, 2020","April 1, 2021","April 13, 2020",,"June 17, 2020","Trinity Health Of New England, Hartford, Connecticut, United States",,"https://ClinicalTrials.gov/show/NCT04343261"
147,"NCT04363099","Multicentre Observational Study on Management COVID 19 Positive Outpatients in a French Cluster.","COVID AMBU 60","Recruiting","No Results Available","Covid-19","Other: observational","clinical description of covid 19 ambulatory cases.|Biological and radiological description of ambulatory cases|Prevalence of positive cases (PCR and/or serological positive)","Maison de Sante Pluridisciplinaire de Creil","All","up to 99 Years   (Child, Adult, Older Adult)",,"1000","Other","Observational","Observational Model: Cohort|Time Perspective: Other","2020-A01059-30","March 1, 2020","June 30, 2020","December 31, 2020","April 27, 2020",,"April 27, 2020","Msp de Creil, Creil, France",,"https://ClinicalTrials.gov/show/NCT04363099"
148,"NCT04414410","Echocardiography in Critically-ill Patients With COVID-19 Pneumonia","ECHO-COVID","Enrolling by invitation","No Results Available","COVID|Sars-CoV2",,"Incidence of Left ventricular systolic dysfunction|Incidence of RV failure|Incidence of Vasoplegia|Incidence of Hypovolemia|Relation between plateau pressure and RV failure|Relation between tidal volume and RV failure|Relation between PaO2 and RV failure|Relation between PaCO2 and RV failure|Relation between PEEP and RV failure","Hospital Ambroise Paré Paris","All","Child, Adult, Older Adult",,"1500","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","RedCap19","May 12, 2020","September 30, 2020","September 30, 2020","June 4, 2020",,"June 4, 2020","University Hospital Ambroise Pare, Boulogne-Billancourt, Hauts De Seine, France",,"https://ClinicalTrials.gov/show/NCT04414410"
149,"NCT04434417","Validation of an Immunochromatographic Assay for IgG/IgM Antibodies to 2019- nCoV","I-GLOBAL","Recruiting","No Results Available","COVID","Device: 2019-nCoV IgG/IgM Rapid Test Cassette","Evaluation of the rate of SARS-CoV-2 positive cancer patients and health professionals in a comprehensive cancer center or in a cancer setting.|Evaluation of test accuracy|Interleukin-6 quantification|Interleukin-2 quantification|Interleukin-1 quantification|Tumor Necrosis Factor (TNF) quantification|Interferon gamma quantification","European Institute of Oncology|Azienda Socio-Sanitaria Territoriale di Cremona|Azienda Ospedaliera Niguarda Cà Granda|Fondazione I.R.C.C.S. Istituto Neurologico Carlo Besta|Papa Giovanni XXIII Hospital","All","18 Years and older   (Adult, Older Adult)",,"1000","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","I-GLOBAL","April 15, 2020","July 31, 2020","December 31, 2020","June 16, 2020",,"June 16, 2020","Papa Giovanni XXIII Hospital, Bergamo, Italy|Azienda Socio-Sanitaria Territoriale di Cremona, Cremona, Italy|Fondazione I.R.C.C.S. Istituto Neurologico Carlo Besta, Milano, Italy|Azienda Ospedaliera Niguarda Cà Granda, Milano, Italy|European IO, Division of Early Drug Development for Innovative Therapies, Milan, Italy","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/17/NCT04434417/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT04434417"
150,"NCT04382469","Egyptian Initial Experience About 2019 Novel Corona Virus: Study of 48 Patients in Alexandria-Egypt Using Chest CT",,"Completed","No Results Available","COVID",,"Radiological pattern of initial presentation, disease progress, healing and recovery|Survey of co-morbid lung diseases","Alexandria University","All","Child, Adult, Older Adult",,"48","Other","Observational","Observational Model: Case-Crossover|Time Perspective: Retrospective","IRB (00012098), FWA (00018699)","February 1, 2020","April 30, 2020","May 1, 2020","May 11, 2020",,"May 12, 2020","Faculty of Medicine, University of Alexandria, Alexandria, Egypt",,"https://ClinicalTrials.gov/show/NCT04382469"
151,"NCT04416893","Part 2 on the Study Prevalence of SARS -Cov2 Carriage in Asymptomatic and Mildly-symptomatic Children (COVILLE2 )","COVILLE2","Not yet recruiting","No Results Available","COVID19","Diagnostic Test: RT-PCR SARS-Cov2|Diagnostic Test: Sars-Cov2 serology","Proportion of asymptomatic children or children with mild respiratory symptoms|Cov2-SARS cases by age|Cov2-SARS cases by symptoms|Viral load|Presence of anti-SARS-CoV-2 antibodies (IgM and IgG) by the rapid serological test","Centre Hospitalier Intercommunal Creteil|Association Clinique Thérapeutique Infantile du val de Marne|GPIP|GFRUP","All","up to 15 Years   (Child)",,"630","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","COVILLE2","June 7, 2020","September 15, 2020","November 15, 2020","June 4, 2020",,"June 4, 2020",,,"https://ClinicalTrials.gov/show/NCT04416893"
152,"NCT04374838","Effect of COVID-19 Pandemic on Pediatric Cancer Care",,"Not yet recruiting","No Results Available","Covid19",,"pediatric cancer care pattern during COVID 19 pandemic","South Egypt Cancer Institute","All","Child, Adult, Older Adult",,"20","Other","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","COVID-19 and Pediatric Cancer","May 15, 2020","December 15, 2020","May 15, 2021","May 5, 2020",,"May 6, 2020",,,"https://ClinicalTrials.gov/show/NCT04374838"
153,"NCT04387292","Ocular Sequelae of Patients Hospitalized for Respiratory Failure During the COVID-19 Epidemic","SOCOVID","Recruiting","No Results Available","COVID19|Ophthalmopathy","Procedure: Ophthalmologic exam","Description of the ophthalmological problems observed","Fondation Ophtalmologique Adolphe de Rothschild","All","18 Years and older   (Adult, Older Adult)","Not Applicable","100","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","MMT_2020_12","June 2020","February 2021","February 2021","May 13, 2020",,"May 13, 2020","Fondation A de Rothschild, Paris, France",,"https://ClinicalTrials.gov/show/NCT04387292"
154,"NCT04441372","Prognostication of Oxygen Requirement in Non-severe SARS-CoV-2 (COVID-19) Respiratory Infection","PRIORITY","Not yet recruiting","No Results Available","Sars-CoV2|COVID",,"Clinical and biochemical prognostic markers|Performance of LMIC-friendly POC|Safe and ethical operational research","Medecins Sans Frontieres, Spain|Mahidol Oxford Tropical Medicine Research Unit|International Centre for Diarrhoeal Disease Research, Bangladesh","All","18 Years and older   (Adult, Older Adult)",,"850","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","MSF0001","August 1, 2020","February 1, 2021","March 1, 2021","June 22, 2020",,"June 25, 2020","International Centre for Diarrhoeal Disease Research, Dhaka, Bangladesh",,"https://ClinicalTrials.gov/show/NCT04441372"
155,"NCT04372472","SQuISH-COVID: A Pilot Study",,"Active, not recruiting","No Results Available","Sepsis|COVID-19",,"To demonstrate the performance of the SeptiScan System as a diagnostic marker of life-threatening organ dysfunction caused by a dysregulated host immune response to infection.","Cytovale, Inc.|Biomedical Advanced Research and Development Authority","All","18 Years and older   (Adult, Older Adult)",,"300","Industry|U.S. Fed","Observational","Observational Model: Cohort|Time Perspective: Prospective","CV-CLN-003","April 7, 2020","May 29, 2020","May 29, 2020","May 4, 2020",,"May 4, 2020","Our Lady of the Lake Regional Medical Center, Baton Rouge, Louisiana, United States",,"https://ClinicalTrials.gov/show/NCT04372472"
156,"NCT04438070","COVID Screening Strategies in Homeless Shelters",,"Recruiting","No Results Available","COVID-19","Diagnostic Test: COVID-19 Swab","COVID-19 Detection Rate|Number of outbreaks|Enrollment over time","St. Joseph's Healthcare Hamilton|Timothy O'Shea|Marek Smieja|Lawrence Mbuagbaw","All","18 Years and older   (Adult, Older Adult)","Not Applicable","400","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Screening","2020-10864-T","April 10, 2020","June 2020","June 2020","June 18, 2020",,"June 18, 2020","Various Homeless Shelters, Hamilton, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT04438070"
157,"NCT04409886","Hyperbaric Oxygen Therapy in Non-ventilated COVID-19 Patients","HBOT","Not yet recruiting","No Results Available","COVID, Coronavirus","Device: Hyperbaric Chamber","Oxygenation index|SpO2|Symptoms level|Chest Xray","Maimonides Medical Center","All","18 Years and older   (Adult, Older Adult)","Not Applicable","30","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","120-20-ASF","June 1, 2020","December 31, 2020","March 30, 2021","June 1, 2020",,"June 11, 2020",,"""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/86/NCT04409886/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT04409886"
